N,M,k,smart,sat,restarts,conflicts,decisions,conflict_literals,propagations,cpu_time,clauses,variables
3,16,1,False,True,1,0,1,0,81,0.0,49,81
4,38,0,True,True,1,0,1,0,256,0.0,234,256
4,38,0,False,True,1,0,1,0,256,0.0,234,256
5,75,0,False,True,1,0,1,0,625,0.0,719,625
6,129,1,True,True,1,0,1,0,1296,0.0,1778,1296
3,16,0,False,True,1,0,1,0,81,0.0,49,81
3,16,1,True,True,1,0,1,0,81,0.0,49,81
5,75,1,False,True,1,0,1,0,625,0.0,689,625
6,129,0,False,True,1,0,1,0,1296,0.0,1807,1296
5,75,0,True,True,1,0,1,0,625,0.0,719,625
6,129,0,True,True,1,0,1,0,1296,0.0,1807,1296
5,75,1,True,True,1,0,1,0,625,0.0,689,625
6,129,1,False,True,1,0,1,0,1296,0.0,1778,1296
4,38,1,True,True,1,0,1,0,256,0.0,235,256
4,38,1,False,True,1,0,1,0,256,0.0,235,256
3,16,0,True,True,1,0,1,0,81,0.0,49,81
