N,M,k,smart,sat,restarts,conflicts,decisions,conflict_literals,propagations,cpu_time,clauses,variables,timeout
6,151,3,False,True,1,0,1,0,1296,0.0,1231,1296,False
6,151,4,False,True,1,0,1,0,1296,0.0,1206,1296,False
9,583,1,False,True,1,0,1,0,6561,0.008,6001,6561,False
6,151,3,True,True,1,0,1,0,1296,0.0,1231,1296,False
6,21,4,False,True,255,100281,135474,4464936,16267797,5.664,16796,1296,False
9,437,2,False,True,1,0,1,0,6561,0.008,14297,6561,False
8,409,4,True,True,1,0,1,0,4096,0.0,3272,4096,False
9,145,3,False,,,,,,,,,,True
6,151,1,False,True,1,0,1,0,1296,0.0,1218,1296,False
7,240,2,True,True,1,0,1,0,2401,0.0,2759,2401,False
3,24,0,True,True,1,0,1,0,81,0.0,12,81,False
6,64,4,True,True,1,0,1,0,1296,0.0,4581,1296,False
5,25,3,True,True,1,0,1,0,625,0.0,2666,625,False
4,6,0,False,True,1,0,8,0,256,0.0,2064,256,False
5,112,3,True,True,1,0,1,0,625,0.0,151,625,False
8,256,1,False,True,1,0,1,0,4096,0.004,10663,4096,False
3,21,1,False,True,1,0,1,0,81,0.0,26,81,False
7,274,1,False,True,1,0,1,0,2401,0.0,1732,2401,False
9,218,2,True,True,1,0,2,0,6561,0.008,38203,6561,False
5,112,4,False,True,1,0,1,0,625,0.0,156,625,False
3,18,2,True,True,1,0,1,0,81,0.0,47,81,False
7,240,4,False,True,1,0,1,0,2401,0.0,2785,2401,False
8,153,3,True,True,1,0,1,0,4096,0.004,20283,4096,False
9,145,0,True,,,,,,,,,,True
8,256,0,True,True,1,0,1,0,4096,0.004,10503,4096,False
9,364,0,False,True,1,0,1,0,6561,0.008,19500,6561,False
6,21,0,True,,,,,,,,,,True
5,100,4,True,True,1,0,1,0,625,0.0,309,625,False
4,51,2,True,True,1,0,1,0,256,0.0,93,256,False
8,409,3,True,True,1,0,1,0,4096,0.0,3316,4096,False
7,240,3,True,True,1,0,1,0,2401,0.0,2645,2401,False
3,5,4,False,True,1,0,1,0,81,0.0,185,81,False
3,16,4,True,True,1,0,1,0,81,0.0,50,81,False
6,108,0,True,True,1,0,1,0,1296,0.0,2510,1296,False
9,583,2,True,True,1,0,1,0,6561,0.004,6054,6561,False
4,38,2,True,True,1,0,1,0,256,0.0,232,256,False
5,87,1,True,True,1,0,1,0,625,0.0,498,625,False
5,112,2,True,True,1,0,1,0,625,0.0,146,625,False
3,10,4,False,True,1,0,1,0,81,0.0,129,81,False
5,12,2,True,True,1,61,95,969,8759,0.0,3739,625,False
9,656,1,False,True,1,0,1,0,6561,0.008,2836,6561,False
3,21,2,True,True,1,0,1,0,81,0.0,26,81,False
8,51,3,True,,,,,,,,,,True
5,87,0,True,True,1,0,1,0,625,0.0,511,625,False
6,64,0,True,True,1,0,1,0,1296,0.0,4661,1296,False
9,364,2,True,True,1,0,1,0,6561,0.004,19810,6561,False
7,137,3,True,True,1,0,1,0,2401,0.0,7550,2401,False
6,151,0,False,True,1,0,1,0,1296,0.0,1270,1296,False
6,108,1,False,True,1,0,1,0,1296,0.0,2669,1296,False
3,16,1,False,True,1,0,1,0,81,0.0,51,81,False
5,62,1,True,True,1,0,1,0,625,0.0,973,625,False
9,656,3,False,True,1,0,1,0,6561,0.008,2849,6561,False
4,6,4,True,True,1,0,3,0,256,0.0,1078,256,False
7,308,0,True,True,1,0,1,0,2401,0.0,819,2401,False
9,364,1,True,True,1,0,1,0,6561,0.004,20116,6561,False
7,171,4,False,True,1,0,1,0,2401,0.0,5451,2401,False
5,37,4,False,True,1,0,1,0,625,0.0,1804,625,False
5,25,1,False,True,1,0,1,0,625,0.0,2567,625,False
8,409,1,True,True,1,0,1,0,4096,0.0,3277,4096,False
4,38,0,True,True,1,0,1,0,256,0.0,234,256,False
5,12,3,True,True,1,64,90,1586,6042,0.0,3791,625,False
5,112,0,False,True,1,0,1,0,625,0.0,155,625,False
5,100,3,True,True,1,0,1,0,625,0.0,301,625,False
6,129,3,True,True,1,0,1,0,1296,0.0,1833,1296,False
6,64,0,False,True,1,0,1,0,1296,0.0,4661,1296,False
8,460,3,False,True,1,0,1,0,4096,0.004,1601,4096,False
4,12,1,False,True,1,0,2,0,256,0.0,951,256,False
9,364,0,True,True,1,0,1,0,6561,0.004,19500,6561,False
7,68,2,True,True,1,72,154,518,10612,0.004,15113,2401,False
8,204,2,False,True,1,0,1,0,4096,0.004,14725,4096,False
3,10,4,True,True,1,0,1,0,81,0.0,129,81,False
6,108,4,False,True,1,0,1,0,1296,0.0,2503,1296,False
9,72,3,True,,,,,,,,,,True
3,24,2,False,True,1,0,1,0,81,0.0,12,81,False
7,240,2,False,True,1,0,1,0,2401,0.0,2759,2401,False
3,18,0,False,True,1,0,1,0,81,0.0,45,81,False
6,172,3,False,True,1,0,1,0,1296,0.0,799,1296,False
7,240,3,False,True,1,0,1,0,2401,0.0,2645,2401,False
7,34,3,False,,,,,,,,,,True
8,307,2,True,True,1,0,1,0,4096,0.0,7672,4096,False
8,51,4,False,,,,,,,,,,True
7,308,3,True,True,1,0,1,0,2401,0.0,826,2401,False
3,13,0,False,True,1,0,1,0,81,0.0,105,81,False
9,437,4,True,True,1,0,1,0,6561,0.004,14298,6561,False
9,510,1,True,True,1,0,1,0,6561,0.004,9469,6561,False
9,218,3,False,True,1,0,1,0,6561,0.012,37952,6561,False
9,145,4,False,,,,,,,,,,True
4,25,4,True,True,1,0,1,0,256,0.0,416,256,False
9,291,2,False,True,1,0,1,0,6561,0.008,26792,6561,False
8,204,4,False,True,1,0,1,0,4096,0.004,14882,4096,False
9,218,2,False,True,1,0,2,0,6561,0.012,46284,6561,False
4,6,2,True,True,1,3,22,7,405,0.0,1189,256,False
6,151,4,True,True,1,0,1,0,1296,0.0,1206,1296,False
4,19,1,False,True,1,0,1,0,256,0.0,557,256,False
8,102,2,True,True,18,3552,6543,79723,609703,0.072,30024,4096,False
9,364,1,False,True,1,0,1,0,6561,0.008,20116,6561,False
4,19,2,False,True,1,0,2,0,256,0.0,598,256,False
5,50,1,False,True,1,0,1,0,625,0.0,1346,625,False
7,102,0,True,True,1,0,1,0,2401,0.0,10687,2401,False
8,358,0,True,True,1,0,1,0,4096,0.0,5371,4096,False
8,102,2,False,True,18,3552,6543,79723,609703,0.08,44542,4096,False
8,409,0,True,True,1,0,1,0,4096,0.0,3357,4096,False
7,205,1,True,True,1,0,1,0,2401,0.0,3915,2401,False
3,24,0,False,True,1,0,1,0,81,0.0,12,81,False
7,274,1,True,True,1,0,1,0,2401,0.0,1732,2401,False
7,68,0,True,True,3,204,362,2462,33918,0.004,14918,2401,False
3,18,4,False,True,1,0,1,0,81,0.0,41,81,False
8,307,1,True,True,1,0,1,0,4096,0.004,7727,4096,False
9,656,2,True,True,1,0,1,0,6561,0.004,2830,6561,False
6,108,1,True,True,1,0,1,0,1296,0.0,2669,1296,False
7,171,1,True,True,1,0,1,0,2401,0.0,5565,2401,False
6,64,1,False,True,1,0,1,0,1296,0.0,4638,1296,False
8,204,3,True,True,1,0,1,0,4096,0.004,14737,4096,False
4,32,4,False,True,1,0,1,0,256,0.0,307,256,False
8,409,3,False,True,1,0,1,0,4096,0.004,3316,4096,False
6,21,3,True,True,127,39430,60710,1673580,5537655,1.212,9449,1296,False
9,583,2,False,True,1,0,1,0,6561,0.008,6054,6561,False
8,204,4,True,True,1,0,1,0,4096,0.0,14882,4096,False
5,25,2,True,True,1,0,1,0,625,0.0,2541,625,False
7,68,4,False,True,2,163,262,1702,25253,0.004,22497,2401,False
4,38,0,False,True,1,0,1,0,256,0.0,234,256,False
4,25,3,False,True,1,0,1,0,256,0.0,521,256,False
5,50,4,False,True,1,0,1,0,625,0.0,1275,625,False
8,102,4,True,True,2,178,423,3004,32165,0.008,29680,4096,False
4,12,3,True,True,1,0,1,0,256,0.0,854,256,False
9,145,1,True,,,,,,,,,,True
3,16,2,True,True,1,0,1,0,81,0.0,50,81,False
3,10,1,True,True,1,0,1,0,81,0.0,113,81,False
7,274,3,False,True,1,0,1,0,2401,0.0,1720,2401,False
9,291,1,False,True,1,0,1,0,6561,0.012,27077,6561,False
9,218,4,False,True,1,0,1,0,6561,0.012,36464,6561,False
4,12,4,False,True,1,0,1,0,256,0.0,790,256,False
4,38,3,False,True,1,0,1,0,256,0.0,277,256,False
9,72,2,False,,,,,,,,,,True
3,8,4,True,True,1,0,1,0,81,0.0,119,81,False
5,100,0,True,True,1,0,1,0,625,0.0,313,625,False
6,43,2,False,True,1,1,8,1,1324,0.0,7144,1296,False
5,112,0,True,True,1,0,1,0,625,0.0,155,625,False
3,24,1,False,True,1,0,1,0,81,0.0,12,81,False
9,72,4,False,,,,,,,,,,True
3,8,2,True,True,1,0,1,0,81,0.0,131,81,False
4,44,4,False,True,1,0,1,0,256,0.0,162,256,False
3,10,0,False,True,1,0,1,0,81,0.0,95,81,False
9,145,2,False,,,,,,,,,,True
3,8,1,True,True,1,0,1,0,81,0.0,115,81,False
9,291,1,True,True,1,0,1,0,6561,0.004,27077,6561,False
5,50,2,True,True,1,0,1,0,625,0.0,1322,625,False
3,2,3,True,True,1,0,3,0,81,0.0,285,81,False
5,75,4,False,True,1,0,1,0,625,0.0,697,625,False
5,25,2,False,True,1,0,1,0,625,0.0,2541,625,False
9,583,3,False,True,1,0,1,0,6561,0.008,6004,6561,False
6,172,4,True,True,1,0,1,0,1296,0.0,762,1296,False
8,204,0,True,True,1,0,2,0,4096,0.004,14895,4096,False
9,656,2,False,True,1,0,1,0,6561,0.008,2830,6561,False
5,75,3,True,True,1,0,1,0,625,0.0,747,625,False
9,656,0,True,True,1,0,1,0,6561,0.004,2827,6561,False
9,145,3,True,,,,,,,,,,True
6,86,2,False,True,1,0,1,0,1296,0.0,3260,1296,False
8,256,2,True,True,1,0,1,0,4096,0.0,10771,4096,False
4,25,2,True,True,1,0,1,0,256,0.0,406,256,False
3,2,0,True,True,1,0,2,0,81,0.0,246,81,False
9,510,3,True,True,1,0,1,0,6561,0.004,9718,6561,False
6,86,4,False,True,1,0,1,0,1296,0.0,3295,1296,False
6,194,1,False,True,1,0,1,0,1296,0.0,401,1296,False
8,307,3,False,True,1,0,1,0,4096,0.004,7738,4096,False
3,21,0,True,True,1,0,1,0,81,0.0,26,81,False
5,75,0,False,True,1,0,1,0,625,0.0,746,625,False
3,5,2,False,True,1,0,1,0,81,0.0,175,81,False
3,18,1,False,True,1,0,1,0,81,0.0,44,81,False
3,8,2,False,True,1,0,1,0,81,0.0,131,81,False
8,256,3,False,True,1,0,1,0,4096,0.004,10910,4096,False
7,205,2,False,True,1,0,1,0,2401,0.0,3958,2401,False
9,510,0,False,True,1,0,1,0,6561,0.008,9539,6561,False
8,51,0,False,,,,,,,,,,True
5,50,2,False,True,1,0,1,0,625,0.0,1322,625,False
3,5,3,False,True,1,0,1,0,81,0.0,186,81,False
3,8,1,False,True,1,0,1,0,81,0.0,115,81,False
3,16,3,False,True,1,0,1,0,81,0.0,55,81,False
7,205,0,False,True,1,0,1,0,2401,0.0,3922,2401,False
7,274,2,False,True,1,0,1,0,2401,0.0,1660,2401,False
8,460,1,True,True,1,0,1,0,4096,0.0,1568,4096,False
6,172,3,True,True,1,0,1,0,1296,0.0,799,1296,False
4,25,0,False,True,1,0,1,0,256,0.0,422,256,False
6,129,1,True,True,1,0,1,0,1296,0.0,1831,1296,False
7,34,4,False,,,,,,,,,,True
3,8,3,False,True,1,0,1,0,81,0.0,130,81,False
7,205,4,True,True,1,0,1,0,2401,0.0,4097,2401,False
9,72,4,True,,,,,,,,,,True
5,37,0,True,True,1,0,1,0,625,0.0,1875,625,False
4,12,0,True,True,1,0,3,0,256,0.0,850,256,False
8,358,3,True,True,1,0,1,0,4096,0.0,5425,4096,False
9,218,0,True,True,1,0,1,0,6561,0.008,36995,6561,False
7,308,1,False,True,1,0,1,0,2401,0.0,801,2401,False
9,145,4,True,,,,,,,,,,True
5,37,1,False,True,1,0,1,0,625,0.0,1908,625,False
3,21,0,False,True,1,0,1,0,81,0.0,26,81,False
8,358,1,False,True,1,0,1,0,4096,0.004,5380,4096,False
9,145,1,False,,,,,,,,,,True
7,68,0,False,True,3,219,392,2421,37756,0.008,22099,2401,False
4,38,4,True,True,1,0,1,0,256,0.0,245,256,False
3,2,2,False,True,1,0,5,0,81,0.0,506,81,False
3,21,4,False,True,1,0,1,0,81,0.0,26,81,False
3,2,0,False,True,1,0,2,0,81,0.0,336,81,False
5,62,4,False,True,1,0,1,0,625,0.0,968,625,False
5,37,4,True,True,1,0,1,0,625,0.0,1804,625,False
6,21,4,True,True,205,67278,101505,2918121,10047455,2.264,9535,1296,False
5,75,3,False,True,1,0,1,0,625,0.0,747,625,False
4,32,0,False,True,1,0,1,0,256,0.0,316,256,False
8,204,2,True,True,1,0,1,0,4096,0.004,14725,4096,False
5,12,4,False,True,1,19,46,361,2580,0.0,6637,625,False
4,25,3,True,True,1,0,1,0,256,0.0,521,256,False
7,205,0,True,True,1,0,1,0,2401,0.0,3922,2401,False
8,256,2,False,True,1,0,1,0,4096,0.004,10771,4096,False
9,72,0,False,,,,,,,,,,True
3,10,3,False,True,1,0,1,0,81,0.0,110,81,False
4,57,1,False,True,1,0,1,0,256,0.0,53,256,False
7,68,4,True,True,2,163,262,1702,25253,0.004,15341,2401,False
7,205,1,False,True,1,0,1,0,2401,0.0,3915,2401,False
3,24,3,True,True,1,0,1,0,81,0.0,12,81,False
7,308,4,True,True,1,0,1,0,2401,0.0,789,2401,False
6,43,4,False,True,1,3,8,3,1466,0.0,8607,1296,False
7,34,2,True,,,,,,,,,,True
3,2,1,True,True,1,0,2,0,81,0.0,247,81,False
3,16,0,False,True,1,0,1,0,81,0.0,53,81,False
4,25,0,True,True,1,0,1,0,256,0.0,422,256,False
5,25,0,False,True,1,0,1,0,625,0.0,2502,625,False
8,153,4,False,True,1,0,1,0,4096,0.008,20878,4096,False
7,171,4,True,True,1,0,1,0,2401,0.0,5451,2401,False
5,87,1,False,True,1,0,1,0,625,0.0,498,625,False
6,64,3,False,True,1,0,3,0,1296,0.0,4855,1296,False
4,32,3,True,True,1,0,1,0,256,0.0,320,256,False
4,44,4,True,True,1,0,1,0,256,0.0,162,256,False
5,100,0,False,True,1,0,1,0,625,0.0,313,625,False
9,218,1,False,True,1,0,1,0,6561,0.012,38536,6561,False
6,21,2,True,True,7,1053,2263,36356,143210,0.016,9557,1296,False
8,409,4,False,True,1,0,1,0,4096,0.004,3272,4096,False
7,205,4,False,True,1,0,1,0,2401,0.0,4097,2401,False
3,16,1,True,True,1,0,1,0,81,0.0,51,81,False
5,37,3,False,True,1,0,1,0,625,0.0,1779,625,False
4,51,2,False,True,1,0,1,0,256,0.0,93,256,False
4,25,4,False,True,1,0,1,0,256,0.0,416,256,False
4,6,1,True,True,1,0,4,0,256,0.0,1141,256,False
4,19,1,True,True,1,0,1,0,256,0.0,557,256,False
6,129,4,False,True,1,0,1,0,1296,0.0,1856,1296,False
5,50,4,True,True,1,0,1,0,625,0.0,1275,625,False
8,51,2,False,,,,,,,,,,True
9,291,2,True,True,1,0,1,0,6561,0.008,26792,6561,False
6,151,1,True,True,1,0,1,0,1296,0.0,1218,1296,False
8,358,0,False,True,1,0,1,0,4096,0.004,5371,4096,False
8,102,4,False,True,2,178,423,3004,32165,0.012,44936,4096,False
4,44,2,False,True,1,0,1,0,256,0.0,178,256,False
5,87,3,True,True,1,0,1,0,625,0.0,496,625,False
4,32,2,False,True,1,0,1,0,256,0.0,304,256,False
6,86,4,True,True,1,0,1,0,1296,0.0,3295,1296,False
9,437,2,True,True,1,0,1,0,6561,0.0,14297,6561,False
4,32,1,False,True,1,0,1,0,256,0.0,325,256,False
5,50,0,False,True,1,0,1,0,625,0.0,1299,625,False
3,5,1,True,True,1,0,1,0,81,0.0,165,81,False
8,51,1,False,,,,,,,,,,True
5,75,1,False,True,1,0,1,0,625,0.0,724,625,False
5,100,4,False,True,1,0,1,0,625,0.0,309,625,False
6,86,0,False,True,1,0,1,0,1296,0.0,3469,1296,False
5,62,0,True,True,1,0,1,0,625,0.0,944,625,False
3,8,4,False,True,1,0,1,0,81,0.0,119,81,False
6,86,1,True,True,1,0,1,0,1296,0.0,3482,1296,False
4,51,3,False,True,1,0,1,0,256,0.0,93,256,False
6,129,2,False,True,1,0,1,0,1296,0.0,1825,1296,False
6,21,1,True,True,25,4781,9497,192934,593704,0.104,9644,1296,False
8,256,4,True,True,1,0,1,0,4096,0.0,10840,4096,False
7,171,3,True,True,1,0,1,0,2401,0.0,5833,2401,False
6,129,0,False,True,1,0,1,0,1296,0.0,1781,1296,False
8,358,4,False,True,1,0,1,0,4096,0.004,5354,4096,False
8,307,0,False,True,1,0,1,0,4096,0.004,7761,4096,False
4,6,3,False,True,1,2,9,6,313,0.0,1585,256,False
7,274,3,True,True,1,0,1,0,2401,0.0,1720,2401,False
5,75,0,True,True,1,0,1,0,625,0.0,746,625,False
8,153,4,True,True,1,0,1,0,4096,0.004,20878,4096,False
9,510,4,False,True,1,0,1,0,6561,0.008,9731,6561,False
8,204,3,False,True,1,0,1,0,4096,0.004,14737,4096,False
8,153,2,False,True,1,0,1,0,4096,0.004,20524,4096,False
8,256,3,True,True,1,0,1,0,4096,0.004,10910,4096,False
5,87,2,False,True,1,0,1,0,625,0.0,488,625,False
6,129,0,True,True,1,0,1,0,1296,0.0,1781,1296,False
9,291,3,True,True,1,0,1,0,6561,0.008,27324,6561,False
3,18,0,True,True,1,0,1,0,81,0.0,45,81,False
6,86,3,True,True,1,0,1,0,1296,0.0,3270,1296,False
4,57,0,True,True,1,0,1,0,256,0.0,54,256,False
4,12,2,True,True,1,0,6,0,256,0.0,878,256,False
8,153,1,False,True,1,0,3,0,4096,0.004,20578,4096,False
5,87,4,False,True,1,0,1,0,625,0.0,508,625,False
5,50,3,True,True,1,0,1,0,625,0.0,1325,625,False
7,274,0,True,True,1,0,1,0,2401,0.0,1668,2401,False
4,38,2,False,True,1,0,1,0,256,0.0,232,256,False
6,194,2,False,True,1,0,1,0,1296,0.0,369,1296,False
3,10,2,True,True,1,0,1,0,81,0.0,121,81,False
4,57,2,False,True,1,0,1,0,256,0.0,49,256,False
8,409,1,False,True,1,0,1,0,4096,0.004,3277,4096,False
7,102,4,True,True,1,0,1,0,2401,0.0,10282,2401,False
5,75,2,False,True,1,0,1,0,625,0.0,738,625,False
9,583,0,False,True,1,0,1,0,6561,0.008,5928,6561,False
5,112,1,False,True,1,0,1,0,625,0.0,147,625,False
6,43,1,False,True,1,0,5,0,1296,0.0,7838,1296,False
6,64,4,False,True,1,0,1,0,1296,0.0,4581,1296,False
4,32,0,True,True,1,0,1,0,256,0.0,316,256,False
7,171,2,True,True,1,0,1,0,2401,0.0,5663,2401,False
6,108,2,True,True,1,0,1,0,1296,0.0,2639,1296,False
5,62,1,False,True,1,0,1,0,625,0.0,973,625,False
6,86,3,False,True,1,0,1,0,1296,0.0,3270,1296,False
4,32,3,False,True,1,0,1,0,256,0.0,320,256,False
8,153,2,True,True,1,0,1,0,4096,0.004,20524,4096,False
9,72,3,False,,,,,,,,,,True
3,10,0,True,True,1,0,1,0,81,0.0,95,81,False
5,75,2,True,True,1,0,1,0,625,0.0,738,625,False
5,25,3,False,True,1,0,1,0,625,0.0,2666,625,False
9,364,4,False,True,1,0,1,0,6561,0.008,19807,6561,False
8,102,0,True,True,10,1438,2759,28371,245014,0.028,29906,4096,False
7,308,0,False,True,1,0,1,0,2401,0.0,819,2401,False
4,38,3,True,True,1,0,1,0,256,0.0,277,256,False
6,194,3,False,True,1,0,1,0,1296,0.0,359,1296,False
8,460,4,False,True,1,0,1,0,4096,0.004,1598,4096,False
4,32,2,True,True,1,0,1,0,256,0.0,304,256,False
7,308,4,False,True,1,0,1,0,2401,0.0,789,2401,False
5,75,1,True,True,1,0,1,0,625,0.0,724,625,False
7,137,0,True,True,1,0,1,0,2401,0.0,7549,2401,False
9,72,1,True,,,,,,,,,,True
3,8,3,True,True,1,0,1,0,81,0.0,130,81,False
7,137,1,True,True,1,0,1,0,2401,0.0,7450,2401,False
6,108,3,False,True,1,0,1,0,1296,0.0,2663,1296,False
7,308,1,True,True,1,0,1,0,2401,0.0,801,2401,False
6,172,1,True,True,1,0,1,0,1296,0.0,821,1296,False
5,62,3,True,True,1,0,1,0,625,0.0,997,625,False
6,64,3,True,True,1,0,3,0,1296,0.0,4755,1296,False
3,10,1,False,True,1,0,1,0,81,0.0,113,81,False
7,102,2,True,True,1,0,1,0,2401,0.0,9988,2401,False
8,256,1,True,True,1,0,1,0,4096,0.004,10663,4096,False
8,153,3,False,True,1,0,1,0,4096,0.008,20283,4096,False
8,204,1,True,True,1,0,2,0,4096,0.004,15163,4096,False
6,172,4,False,True,1,0,1,0,1296,0.0,762,1296,False
4,12,0,False,True,1,0,3,0,256,0.0,930,256,False
5,50,3,False,True,1,0,1,0,625,0.0,1325,625,False
4,12,4,True,True,1,0,1,0,256,0.0,790,256,False
8,153,1,True,True,1,0,3,0,4096,0.004,20498,4096,False
8,51,2,True,,,,,,,,,,True
7,274,4,True,True,1,0,1,0,2401,0.0,1731,2401,False
8,51,3,False,,,,,,,,,,True
4,19,4,True,True,1,0,1,0,256,0.0,564,256,False
7,171,0,True,True,1,0,1,0,2401,0.0,5524,2401,False
7,102,3,True,True,1,0,1,0,2401,0.0,10302,2401,False
4,57,1,True,True,1,0,1,0,256,0.0,53,256,False
7,68,3,False,True,1,30,82,321,6419,0.004,23522,2401,False
6,172,0,True,True,1,0,1,0,1296,0.0,796,1296,False
4,57,4,False,True,1,0,1,0,256,0.0,49,256,False
8,460,3,True,True,1,0,1,0,4096,0.0,1601,4096,False
6,64,2,True,True,1,0,1,0,1296,0.0,4608,1296,False
7,308,2,True,True,1,0,1,0,2401,0.0,812,2401,False
6,194,0,True,True,1,0,1,0,1296,0.0,377,1296,False
6,151,2,True,True,1,0,1,0,1296,0.0,1343,1296,False
9,656,4,True,True,1,0,1,0,6561,0.004,2889,6561,False
7,171,2,False,True,1,0,1,0,2401,0.0,5663,2401,False
8,358,1,True,True,1,0,1,0,4096,0.0,5380,4096,False
6,129,1,False,True,1,0,1,0,1296,0.0,1831,1296,False
6,86,2,True,True,1,0,1,0,1296,0.0,3260,1296,False
6,86,1,False,True,1,0,1,0,1296,0.0,3482,1296,False
5,100,2,True,True,1,0,1,0,625,0.0,318,625,False
5,50,0,True,True,1,0,1,0,625,0.0,1299,625,False
6,151,0,True,True,1,0,1,0,1296,0.0,1270,1296,False
9,218,3,True,True,1,0,1,0,6561,0.008,37952,6561,False
4,25,2,False,True,1,0,1,0,256,0.0,406,256,False
3,18,3,True,True,1,0,1,0,81,0.0,47,81,False
3,24,3,False,True,1,0,1,0,81,0.0,12,81,False
7,171,1,False,True,1,0,1,0,2401,0.0,5565,2401,False
3,18,1,True,True,1,0,1,0,81,0.0,44,81,False
9,218,1,True,True,1,0,1,0,6561,0.008,38536,6561,False
5,12,4,True,True,1,19,46,361,2580,0.0,3766,625,False
3,5,1,False,True,1,0,1,0,81,0.0,165,81,False
4,57,0,False,True,1,0,1,0,256,0.0,54,256,False
3,13,3,False,True,1,0,1,0,81,0.0,75,81,False
4,57,3,True,True,1,0,1,0,256,0.0,51,256,False
5,75,4,True,True,1,0,1,0,625,0.0,697,625,False
6,108,2,False,True,1,0,1,0,1296,0.0,2639,1296,False
6,172,1,False,True,1,0,1,0,1296,0.0,821,1296,False
9,218,4,True,True,1,0,1,0,6561,0.004,36464,6561,False
5,12,1,True,True,3,220,346,4724,23844,0.0,3752,625,False
7,137,0,False,True,1,0,1,0,2401,0.004,7549,2401,False
9,72,2,True,,,,,,,,,,True
3,2,4,False,True,1,0,2,0,81,0.0,344,81,False
8,307,0,True,True,1,0,1,0,4096,0.0,7761,4096,False
5,62,3,False,True,1,0,1,0,625,0.0,997,625,False
6,21,1,False,True,25,4781,9497,192934,593704,0.104,16735,1296,False
4,25,1,False,True,1,0,1,0,256,0.0,442,256,False
4,19,0,False,True,1,0,1,0,256,0.0,586,256,False
3,10,2,False,True,1,0,1,0,81,0.0,121,81,False
9,218,0,False,True,1,0,1,0,6561,0.016,36995,6561,False
7,137,1,False,True,1,0,1,0,2401,0.0,7450,2401,False
4,32,1,True,True,1,0,1,0,256,0.0,325,256,False
8,409,0,False,True,1,0,1,0,4096,0.004,3357,4096,False
3,21,2,False,True,1,0,1,0,81,0.0,26,81,False
6,194,0,False,True,1,0,1,0,1296,0.0,377,1296,False
4,6,0,True,True,1,0,8,0,256,0.0,1180,256,False
9,510,2,False,True,1,0,1,0,6561,0.008,9680,6561,False
7,34,0,False,,,,,,,,,,True
9,583,4,False,True,1,0,1,0,6561,0.016,6046,6561,False
4,57,2,True,True,1,0,1,0,256,0.0,49,256,False
3,13,4,False,True,1,0,1,0,81,0.0,73,81,False
6,21,2,False,True,127,39457,57113,1601817,6666196,2.548,16841,1296,False
8,102,1,True,True,7,891,1891,18530,147610,0.02,29790,4096,False
7,137,2,False,True,1,0,1,0,2401,0.004,7584,2401,False
3,18,2,False,True,1,0,1,0,81,0.0,47,81,False
4,6,4,False,True,1,0,3,0,256,0.0,1567,256,False
8,102,0,False,True,11,1691,3223,32312,283643,0.048,44683,4096,False
6,43,2,True,True,1,1,8,1,1324,0.0,6772,1296,False
9,510,2,True,True,1,0,1,0,6561,0.004,9680,6561,False
8,256,0,False,True,1,0,1,0,4096,0.004,10503,4096,False
6,194,1,True,True,1,0,1,0,1296,0.0,401,1296,False
3,13,1,True,True,1,0,1,0,81,0.0,78,81,False
4,38,1,True,True,1,0,1,0,256,0.0,250,256,False
5,37,2,True,True,1,0,1,0,625,0.0,1781,625,False
6,172,2,True,True,1,0,1,0,1296,0.0,781,1296,False
3,24,1,True,True,1,0,1,0,81,0.0,12,81,False
7,308,2,False,True,1,0,1,0,2401,0.0,812,2401,False
8,460,4,True,True,1,0,1,0,4096,0.0,1598,4096,False
8,460,2,False,True,1,0,1,0,4096,0.004,1582,4096,False
8,102,3,True,True,62,15019,25360,391717,2850740,0.584,29577,4096,False
5,62,4,True,True,1,0,1,0,625,0.0,968,625,False
7,308,3,False,True,1,0,1,0,2401,0.0,826,2401,False
8,460,0,False,True,1,0,1,0,4096,0.004,1611,4096,False
8,51,4,True,,,,,,,,,,True
6,129,4,True,True,1,0,1,0,1296,0.0,1856,1296,False
5,100,3,False,True,1,0,1,0,625,0.0,301,625,False
9,364,2,False,True,1,0,1,0,6561,0.008,19810,6561,False
6,194,4,True,True,1,0,1,0,1296,0.0,369,1296,False
4,12,3,False,True,1,0,1,0,256,0.0,854,256,False
9,437,1,False,True,1,0,1,0,6561,0.008,14532,6561,False
